ID,UF_NAME,UF_XML_ID,DEL
1,HiWatch,143eeefd-78db-11e6-80d3-0cc47a7821bb,N
2,"Hik IP",1703c69d-78de-11e6-80d3-0cc47a7821bb,N
3,PRIME,28b353cc-78de-11e6-80d3-0cc47a7821bb,Y
4,"RVI Снятые позиции",3040e503-78de-11e6-80d3-0cc47a7821bb,N
5,JUST,3040e504-78de-11e6-80d3-0cc47a7821bb,N
6,"Stelberry Переговорки",3e0e3f8a-78de-11e6-80d3-0cc47a7821bb,N
7,"Slinex (СКУД)",44afc755-78de-11e6-80d3-0cc47a7821bb,N
8,"Hik TVI+NVR",fe4c8081-7bdc-11e6-80d3-0cc47a7821bb,N
9,EZVIZ,1170a632-96b2-11e6-80da-0cc47a7821bb,N
10,Honeywell,4b7f2037-9c26-11e6-80da-0cc47a7821bb,Y
11,O'ZERO,b1b7b5df-0265-11e7-80fc-0cc47a7821bb,Y
12,"Ajax Systems",b17e2397-dde2-11e8-8140-0cc47a7821bb,N
13,Dahua,fb4493e7-de9e-11e8-8141-0cc47a7821bb,N
14,Wizebox,31acc76b-dea1-11e8-8141-0cc47a7821bb,N
15,"Macroscop  NVR VMT",f37ee0f7-e99b-11e8-8143-0cc47a7821bb,N
16,"Hik EOL",1f7cb51a-fdfd-11e8-8146-0cc47a7821bb,N
17,"Hik PROJECT",72b03d35-084f-11e9-814b-0cc47a7821bb,N
18,"RVI N1",90c1476f-39a3-11e9-8151-0cc47a7821bb,N
19,"RVI N2",90c14770-39a3-11e9-8151-0cc47a7821bb,N
20,CTV,a13326d9-102a-11ea-8164-0cc47a7821bb,N
21,Beward,f0cb60d6-0c72-11eb-8182-0cc47a7821bb,N
22,EZ-IP,04de6fb2-0c73-11eb-8182-0cc47a7821bb,N
23,"Falcon Eye",0c07a677-0c73-11eb-8182-0cc47a7821bb,N
24,"Macroscop NVR URM",1b593f34-0c73-11eb-8182-0cc47a7821bb,Y
25,IronLogic,1b593f35-0c73-11eb-8182-0cc47a7821bb,N
26,Optimus,2894405e-0c73-11eb-8182-0cc47a7821bb,N
27,Бастион,2f231974-0c73-11eb-8182-0cc47a7821bb,N
28,TFortis,3613e5d8-0c73-11eb-8182-0cc47a7821bb,N
29,Delta,3613e5d9-0c73-11eb-8182-0cc47a7821bb,N
30,Seagate,407bd338-0c73-11eb-8182-0cc47a7821bb,N
31,SF&T,469ecd38-0c73-11eb-8182-0cc47a7821bb,Y
32,WD,4cefd7fe-0c73-11eb-8182-0cc47a7821bb,N
33,Polyvision,4cefd803-0c73-11eb-8182-0cc47a7821bb,Y
